rule	name	agency	program	effective	url	retrieved	text_bytes	html_bytes	html_sha256
R13-1	Public Petitions for Declaratory Orders	Government Operations	Administration	5/18/2021	https://adminrules.utah.gov/api/public/getHTML/uac-html/5b041810-6ed1-43a2-9ceb-3b2142c0c0c8.html	2026-07-28	4478	149083	308f8db3433de5bc3ad95ed50283fab865faa0acb7b9cc141206faee4a15c7bf
R13-2	Management of Records and Access to Records	Government Operations	Administration	8/25/2021	https://adminrules.utah.gov/api/public/getHTML/uac-html/f0973df8-d6cb-445d-8211-7424d5320807.html	2026-07-28	6577	198347	bc4845783ee861e1806e604d115e4424fe9c87f4b991825288678b062d207d3b
R13-3	Americans with Disabilities Act Grievance Procedures	Government Operations	Administration	5/18/2021	https://adminrules.utah.gov/api/public/getHTML/uac-html/69395c2c-bac4-41cd-ba4a-523697342d41.html	2026-07-28	11207	362771	fe03162298d2ded626d30795a9c0efed64996a217cea0974e53938ae24d2635f
R13-5	Use of Electronic Meetings for the Government Operations Rate Committee	Government Operations	Administration	12/23/2021	https://adminrules.utah.gov/api/public/getHTML/uac-html/cce9c159-4099-4832-807c-740677d9c60d.html	2026-07-28	3584	161643	4caefcddf5f0f92e9ad0f25bc79a1fc0fde6deb32684d6a2a3e77f0bd00e1b71
R15-1	Administrative Rule Hearings	Government Operations	Administrative Rules	7/14/2021	https://adminrules.utah.gov/api/public/getHTML/uac-html/dfe20ff9-796d-4e58-8f25-029fa487176d.html	2026-07-28	6057	195774	22fbc6f1530dc91c171cdccd1bf2cbd95b9e4fb3d41b2fa4ecc3b236a912426e
R15-2	Public Petitioning for Rulemaking	Government Operations	Administrative Rules	7/14/2021	https://adminrules.utah.gov/api/public/getHTML/uac-html/bc5b8f5f-ce57-4fc3-a822-8e6d14c99a36.html	2026-07-28	2922	97978	d6c62c7aaff8f5f3ed4322583528725537ffc8c5f9b606ac21684b613404762d
R15-3	Administrative Rules:  Scope, Content, and When Required	Government Operations	Administrative Rules	7/14/2021	https://adminrules.utah.gov/api/public/getHTML/uac-html/e90b9015-9c02-41b1-b5f9-70114cad76c9.html	2026-07-28	3477	147151	36b818b61fbdf481f667a3c09ff3cab83d5efc5111a605f2827324c611d60c46
R15-4	Administrative Rulemaking Procedures	Government Operations	Administrative Rules	7/14/2021	https://adminrules.utah.gov/api/public/getHTML/uac-html/f57d019b-07ff-4795-9dea-8c51a7b40478.html	2026-07-28	16716	417714	a809c430cde6a9c14e1bd51d89662af6cb68494fa4ff39fb6d25bca5953b8de7
R15-5	Administrative Rules Adjudicative Proceedings	Government Operations	Administrative Rules	7/14/2021	https://adminrules.utah.gov/api/public/getHTML/uac-html/fc8352ad-23ed-48a3-b905-d08c3c01edda.html	2026-07-28	4856	179071	e0cc7d4313bc6ebcec9071fbc4fbead659ee0e0d9ace7a070f593e32efc7686a
R17-5	Definitions for Rules in Title R17	Government Operations	Archives and Records Service	5/18/2021	https://adminrules.utah.gov/api/public/getHTML/uac-html/8b863261-1ff9-4310-a904-9d7ecce7bb9c.html	2026-07-28	828	79956	a74de593c9c57b95b1106ada63cc758c2f1cddf71f9808c1b8c783d2c2ef9a73
R17-6	Records Storage and Disposal at the State Records Center	Government Operations	Archives and Records Service	5/18/2021	https://adminrules.utah.gov/api/public/getHTML/uac-html/e0c98d7b-62aa-4a28-9b6f-b9490dcb3ec4.html	2026-07-28	2361	123364	53859987bc2765c4d46d479c3ce566ce514000a15f10949687853a47b35bc937
R17-7	Archival Records Care and Access at the State Archives	Government Operations	Archives and Records Service	5/18/2021	https://adminrules.utah.gov/api/public/getHTML/uac-html/67a3af1f-d001-427d-8d4a-2312ccebed8a.html	2026-07-28	2820	138207	ba58a7220b0a925ea891ec31be32191856ec79586acae2f2eb0c7e2e5d741e40
R17-8	Application of Microfilm Standards	Government Operations	Archives and Records Service	5/18/2021	https://adminrules.utah.gov/api/public/getHTML/uac-html/a84b21f0-36ac-407a-9345-d3cd33240d2a.html	2026-07-28	1092	91650	c47396e45d75b26d9e2ee354d2f758ce9a8f4fdba7d84c2b89dd78b29b48ff28
R17-9	Electronic Participation at Meetings	Government Operations	Archives and Records Service	5/18/2021	https://adminrules.utah.gov/api/public/getHTML/uac-html/baaae40f-a4bf-438a-a7ad-7434dbbf31c4.html	2026-07-28	2037	123852	14ed6fd6fbfb7e98bd320bd7cbf19bf69c8ecbe9fd25b37a039cf2c42d4d5864
R17-10	Government Records Ombudsman	Government Operations	Archives and Records Service	11/25/2025	https://adminrules.utah.gov/api/public/getHTML/uac-html/8a216db6-77f8-4a9b-a778-28cc87d84a1d.html	2026-07-28	830	74960	8dd115d1797f86ff4388a917d6c4d1719976fc83e8fe46e1d054ffbeb6a9e722
