title	version	url	retrieved	bytes	sha256
3	C3_1800010118000101	https://le.utah.gov/xcode/Title3/C3_1800010118000101.xml	2026-07-28	130209	9c1af643fdf45ea9281f01ccafdf26d67169d72d9c177097579bf0529bf53d71
4	C4_1800010118000101	https://le.utah.gov/xcode/Title4/C4_1800010118000101.xml	2026-07-28	1487523	b0737729342c98efb2c7da1abc73126919e862c2ceff927ce5901294ef2295eb
6	C6_1800010118000101	https://le.utah.gov/xcode/Title6/C6_1800010118000101.xml	2026-07-28	67421	d6716d0fc4c857e1fa1b5008942b47994838260276d584767a76ec869cf224ff
7	C7_1800010118000101	https://le.utah.gov/xcode/Title7/C7_1800010118000101.xml	2026-07-28	946598	0f76d06830606102e2b5ec3eb628d1175c87e92362bce1c10ae61938c96c6b3c
8	C8_1800010118000101	https://le.utah.gov/xcode/Title8/C8_1800010118000101.xml	2026-07-28	28416	92c4b90159c0161dae1345872f3ae20f3a1dd4cc3323b2ae64e95ba884069251
9	C9_2021050520210505	https://le.utah.gov/xcode/Title9/C9_2021050520210505.xml	2026-07-28	476955	6c60beb0e2718a2b942801b7930199d3fd34fbaf465413d4440e11bdea63f2a2
10	C10_1800010118000101	https://le.utah.gov/xcode/Title10/C10_1800010118000101.xml	2026-07-28	1887650	0875ecfdd88edb75507638123f99fccfbc47cdf06d1c9581d8a9801053439766
11	C11_1800010118000101	https://le.utah.gov/xcode/Title11/C11_1800010118000101.xml	2026-07-28	1929276	386063d46277eafe6272da4b9a9d792e3c173aa4f62ac1efb7d97cd76f26cdcb
12	C12_1800010118000101	https://le.utah.gov/xcode/Title12/C12_1800010118000101.xml	2026-07-28	5132	bf1dab3ed7cdbcb073fd32153a7fb607f74535a9fd72357caaab5000e3affb2b
13	C13_1800010118000101	https://le.utah.gov/xcode/Title13/C13_1800010118000101.xml	2026-07-28	2090291	1c0363608f119c7758e06b632967aba25e6459bb343409f0b96d0a6d64774b2e
14	C14_1800010118000101	https://le.utah.gov/xcode/Title14/C14_1800010118000101.xml	2026-07-28	14473	0240e7a5db98fbd31e225de56c1fea64b4863c97f4e4302acfa8cf884c836225
15	C15_1800010118000101	https://le.utah.gov/xcode/Title15/C15_1800010118000101.xml	2026-07-28	74791	033f887b3bfd5d7dd0a9b0e13493fa47622a4c5fd44a4f200218579294230e2e
15A	C15A_1800010118000101	https://le.utah.gov/xcode/Title15A/C15A_1800010118000101.xml	2026-07-28	498570	34591a10891d043344f015c06f2f365bcc55fd16a744742c843e37177be67d16
16	C16_1800010118000101	https://le.utah.gov/xcode/Title16/C16_1800010118000101.xml	2026-07-28	2503170	603904dc03e4ae3dd148f25832cb54fc33266557352b6a2d89937205850efff3
17	C17_1800010118000101	https://le.utah.gov/xcode/Title17/C17_1800010118000101.xml	2026-07-28	1949068	d84dea90256a5e02907ad5ea15f5f0a3edb5d932fc0c6aa1a5fb619877bf4301
17B	C17B_1800010118000101	https://le.utah.gov/xcode/Title17B/C17B_1800010118000101.xml	2026-07-28	1065296	49becaf0f1e7910870eb4791e82bea07b7d33f8f36906190f1b0144e55a75fa2
17C	C17C_2016051020160510	https://le.utah.gov/xcode/Title17C/C17C_2016051020160510.xml	2026-07-28	499541	88e71082712e5b03b6c951f354482ec439e1b525f692ce291512a4f15b81133e
17D	C17D_1800010118000101	https://le.utah.gov/xcode/Title17D/C17D_1800010118000101.xml	2026-07-28	331297	fd63fedf6cd5e6a447ae1e297e30f17c79c3b238383e5b771e61cdd94d8f9f16
17E	C17E_2025110620251206	https://le.utah.gov/xcode/Title17E/C17E_2025110620251206.xml	2026-07-28	45985	740cf084b3ec08b9789e273806e7eaa64bcd9cbd2379ef600b5d64143b835478
18	C18_1800010118000101	https://le.utah.gov/xcode/Title18/C18_1800010118000101.xml	2026-07-28	19059	76ba136515f18ae519ad1e40e001ae69280f1ce092a3a0729bc4abe354150568
19	C19_1800010118000101	https://le.utah.gov/xcode/Title19/C19_1800010118000101.xml	2026-07-28	1390774	e95460bb9bbb61702576626b2b62f6cdc1581153db6ed2bd5d0195f348f98833
20A	C20A_1800010118000101	https://le.utah.gov/xcode/Title20A/C20A_1800010118000101.xml	2026-07-28	2422082	0cd566f7bd1d1d79db67f30b06f3534135106469fcc0e11a4e054522003c8485
23A	C23A_2023050320230701	https://le.utah.gov/xcode/Title23A/C23A_2023050320230701.xml	2026-07-28	588254	05ef86b3b4f404079874f33b104a51e2b4ba50c371e8ea1accf6be6910543eef
25	C25_1800010118000101	https://le.utah.gov/xcode/Title25/C25_1800010118000101.xml	2026-07-28	51271	82e44f02ddb98f17c57def989cebd5d3cac6e558c7d86a6c426c99a2f2c1f1a6
26A	C26A_1800010118000101	https://le.utah.gov/xcode/Title26A/C26A_1800010118000101.xml	2026-07-28	93305	3003456165e0772340e3e5c6050cfb98eb3fb3f449e0e2c4bcf595ae33ec64d2
26B	C26B_2022050420220701	https://le.utah.gov/xcode/Title26B/C26B_2022050420220701.xml	2026-07-28	3581358	0e60c3e9f0e05134d21f3da0bd1c0e84f315797482055d0c0f6b69a6c6d3bb1e
29	C29_1800010118000101	https://le.utah.gov/xcode/Title29/C29_1800010118000101.xml	2026-07-28	11923	f3f3ef64414568bbf6676031a9f808421e24f447e840cdc225768f9c91b79ea7
31A	C31A_1800010118000101	https://le.utah.gov/xcode/Title31A/C31A_1800010118000101.xml	2026-07-28	5074085	47f7273c3d3de2117a11ccba2692eb8bc6df32ea54bb779042b77978ca3bd4f3
32B	C32B_1800010118000101	https://le.utah.gov/xcode/Title32B/C32B_1800010118000101.xml	2026-07-28	1369286	479a0bb86131de11466cbd9514a75f0c53163ab7377ef2a98e61baefb96e4d3f
34	C34_1800010118000101	https://le.utah.gov/xcode/Title34/C34_1800010118000101.xml	2026-07-28	414730	736614ea9f16b03ebb0f82074513e81969fc58efe9053c371543b4e79c0e173e
34A	C34A_1800010118000101	https://le.utah.gov/xcode/Title34A/C34A_1800010118000101.xml	2026-07-28	751392	cd05a1bc98e49c12d1d44c70ae4bcdb0c636c68b921981bedf6a05398f24ba6d
35A	C35A_1800010118000101	https://le.utah.gov/xcode/Title35A/C35A_1800010118000101.xml	2026-07-28	929893	158d118d4de6ee5c4abcddeb8a8552aa1330c045ceeb64e205317af918ca8973
36	C36_1800010118000101	https://le.utah.gov/xcode/Title36/C36_1800010118000101.xml	2026-07-28	334567	27855f93f0a932fb4ec80105e3848cbec44ebe01993f34f5baf14b775d7f5ee7
38	C38_1800010118000101	https://le.utah.gov/xcode/Title38/C38_1800010118000101.xml	2026-07-28	384587	369990e0e704a45a533674c5478a8b0360d379f00d37a84ece55ca4f8b4414ba
39A	C39A_2022050420220504	https://le.utah.gov/xcode/Title39A/C39A_2022050420220504.xml	2026-07-28	198479	3d6790a2e24c463dec64bd2f86683fdacd0ab00bab73029544ec83808d4c2088
40	C40_1800010118000101	https://le.utah.gov/xcode/Title40/C40_1800010118000101.xml	2026-07-28	633308	a605041eeaa08c34fc2db902338891240ca16616d2c4003488c4972d28e8d400
41	C41_1800010118000101	https://le.utah.gov/xcode/Title41/C41_1800010118000101.xml	2026-07-28	2331853	ccad4b62a8824a46cf6dc480a4858fe1512c8496902c3b1bb6409f313713b21b
42	C42_1800010118000101	https://le.utah.gov/xcode/Title42/C42_1800010118000101.xml	2026-07-28	39846	5e1f33ec50052ca394b26db73b88fe75e97bcfbe072416ae5793275a1f4dbc16
43	C43_1800010118000101	https://le.utah.gov/xcode/Title43/C43_1800010118000101.xml	2026-07-28	4443	b526ac6a57d91c51bd75c8a4b8ad14037f09ae82561b556294b1a456ddac2a6b
45	C45_1800010118000101	https://le.utah.gov/xcode/Title45/C45_1800010118000101.xml	2026-07-28	49072	86e7bd005de991e802a8ffadbbf7660e58d21946a18b34e7d0bd70d5428ded1c
46	C46_2018050820190101	https://le.utah.gov/xcode/Title46/C46_2018050820190101.xml	2026-07-28	160997	89a204ae4c6efbb99d348e35e35feffd4e1a870058ca7ef175c1ea26cb2fcca1
48	C48_1800010118000101	https://le.utah.gov/xcode/Title48/C48_1800010118000101.xml	2026-07-28	1124297	a738b49f4522716b0dcecb82de38c499e74166932eb5f9901445a1db3453d09c
49	C49_1800010118000101	https://le.utah.gov/xcode/Title49/C49_1800010118000101.xml	2026-07-28	1047626	8feed878016aec3cbd410382cdd2dc05a3b7d0acfececb91570b6a03ec220fbe
50	C50_1800010118000101	https://le.utah.gov/xcode/Title50/C50_1800010118000101.xml	2026-07-28	4248	0dda2842d227fc81c7b75bd0721ade9802e05883604d03c9309278a9a3bdb8db
51	C51_1800010118000101	https://le.utah.gov/xcode/Title51/C51_1800010118000101.xml	2026-07-28	310737	bb48368336fac7afe9c526c97f4fb59e485bde2a5f07933b511c33b2d0ae889c
52	C52_1800010118000101	https://le.utah.gov/xcode/Title52/C52_1800010118000101.xml	2026-07-28	117188	1e8dbb42b7051ff832de77a708a0ae9201ac970d61a8dc8cc1715f933113b572
53	C53_1800010118000101	https://le.utah.gov/xcode/Title53/C53_1800010118000101.xml	2026-07-28	2537413	52956532cffea1ace74f8dab5cf2205b8b628b1d57dd4fa717723639c324c283
53C	C53C_1800010118000101	https://le.utah.gov/xcode/Title53C/C53C_1800010118000101.xml	2026-07-28	160779	3069404a0421c8c5db6318a6dbb7b50eaada11b575b16a671a88f90149e2f4f5
53D	C53D_2018050820180701	https://le.utah.gov/xcode/Title53D/C53D_2018050820180701.xml	2026-07-28	97759	21aa336ade59c31575d3288499b4a4a76302c8c975adf88fa680b7ddfc1e056f
53E	C53E_2018012420180124	https://le.utah.gov/xcode/Title53E/C53E_2018012420180124.xml	2026-07-28	1039941	4c4217ea9ef275bf42d4d957174acac0512cdb66bd9a9b9f52fec2d60680a527
53F	C53F_2018012420180124	https://le.utah.gov/xcode/Title53F/C53F_2018012420180124.xml	2026-07-28	869616	587c72ab68a0c076c8a98fdd43fc97ea7d80ab15167c2036cc0026b116ab6804
53G	C53G_2018012420180124	https://le.utah.gov/xcode/Title53G/C53G_2018012420180124.xml	2026-07-28	1743560	dc0ed49bbb45cc0b10ee15e652e3cf6d51a700e97a808c4a4a845d4766bd6a11
53H	C53H_2025101420251206	https://le.utah.gov/xcode/Title53H/C53H_2025101420251206.xml	2026-07-28	1319804	d87cd5a5bb90e992580c38b998b6898197d506b5832db1b5eb26441c24df5f6c
54	C54_1800010118000101	https://le.utah.gov/xcode/Title54/C54_1800010118000101.xml	2026-07-28	1123453	687905260b964abebc5a28e23119005c859fa2fe6b313e94501b69777562b92e
