item_id	citation	title	authority_tier	validity	validity_note	translation_status	translation_of	quotation_qualifier	version_id	lang	source_url	retrieved	media_type	bytes	sha256
R105-1	Utah Admin. Code R105-1	Attorney General's Selection of Outside Counsel, Expert Witnesses and Other Litigation Support Services	delegated	in-force		authoritative			2026-06-01	eng	https://adminrules.utah.gov/api/public/getHTML/uac-html/d78094ea-1403-47ff-95fe-aefc14586499.html	2026-07-28	text/plain	27832	18c1606e860396b732ca339a812c274e19437d8c19e2fca9d2dd0d8b50dc0488
R105-2	Utah Admin. Code R105-2	Records Access and Management	delegated	in-force		authoritative			2018-09-07	eng	https://adminrules.utah.gov/api/public/getHTML/uac-html/d8694cd2-622f-4ccf-a1ff-80dc0201aee1.html	2026-07-28	text/plain	2136	2831859892dafaa51aa0218843ea77496f953599b5dfcb47b1fc89b869676799
R105-5	Utah Admin. Code R105-5	White Collar Crime Offender Registry	delegated	in-force		authoritative			2025-10-08	eng	https://adminrules.utah.gov/api/public/getHTML/uac-html/1f6ec0d5-ed3d-44e1-84b3-26f4fb4cb492.html	2026-07-28	text/plain	20233	b6600ed6aa6c5afacc9defae3ccea1d4a564a0d849f0386877771dc44f549079
R105-6	Utah Admin. Code R105-6	Child Protection Registry	delegated	in-force		authoritative			2025-10-08	eng	https://adminrules.utah.gov/api/public/getHTML/uac-html/325eeb3b-66dd-4854-b4e6-01f331795a9a.html	2026-07-28	text/plain	5805	9b291dc4bbe8e61c3b1ca7c817de15fa65c6f9b2fe45cca6190e01d26b6adb37
R123-5	Utah Admin. Code R123-5	Requirements for Accounting Services of Political Subdivisions and Governmental Nonprofit Corporations	delegated	in-force		authoritative			2019-11-07	eng	https://adminrules.utah.gov/api/public/getHTML/uac-html/dc1034ce-a28c-4f3c-9c49-716926d46bfd.html	2026-07-28	text/plain	7684	ad447d737ca9ce10209cb58c3eac8c11efc7d1dcfd79bf134253479b7b570956
R123-6	Utah Admin. Code R123-6	Allocation of Money in the Property Tax Valuation Agency Fund	delegated	in-force		authoritative			2024-05-03	eng	https://adminrules.utah.gov/api/public/getHTML/uac-html/df725de6-74df-460c-8390-1b6ccb53f9f4.html	2026-07-28	text/plain	3672	ee53de4d66219debe155d61fae0108cfd20f5b869b79e86d1c020799d612dd0b
R123-7	Utah Admin. Code R123-7	Required Governmental Entities' Posting of Financial Information to Transparent Utah, formerly known as the Utah Public Finance Website	delegated	in-force		authoritative			2025-07-09	eng	https://adminrules.utah.gov/api/public/getHTML/uac-html/9261b437-9e19-4eec-bc2f-80490bd2505b.html	2026-07-28	text/plain	5786	b2b249411faf057b8a9c1a704b57028230daca994c7b6636e25de7c4807ec0a2
R13-1	Utah Admin. Code R13-1	Public Petitions for Declaratory Orders	delegated	in-force		authoritative			2021-05-18	eng	https://adminrules.utah.gov/api/public/getHTML/uac-html/5b041810-6ed1-43a2-9ceb-3b2142c0c0c8.html	2026-07-28	text/plain	4478	0179f6ddcb288223a49b49d7ab4bb929b03cb259bc53d794e167c9d46d3822bb
R13-2	Utah Admin. Code R13-2	Management of Records and Access to Records	delegated	in-force		authoritative			2021-08-25	eng	https://adminrules.utah.gov/api/public/getHTML/uac-html/f0973df8-d6cb-445d-8211-7424d5320807.html	2026-07-28	text/plain	6577	a237c28c98c69a28de10e9cc3076d784be78d88b3bd1f6756ef494b3bbbde5dd
R13-3	Utah Admin. Code R13-3	Americans with Disabilities Act Grievance Procedures	delegated	in-force		authoritative			2021-05-18	eng	https://adminrules.utah.gov/api/public/getHTML/uac-html/69395c2c-bac4-41cd-ba4a-523697342d41.html	2026-07-28	text/plain	11207	3918a032626a98b3a0f88750e8ae4d59d8237e6e9da15ea1b67c1361825b9563
