item_id	citation	title	authority_tier	validity	validity_note	translation_status	translation_of	quotation_qualifier	version_id	lang	source_url	retrieved	media_type	bytes	sha256
UCJA-1-101	Utah Code of Judicial Administration 1-101	General definitions - Rules of construction.	delegated	in-force		authoritative			1997-01-27	eng	https://legacy.utcourts.gov/rules/view.php?type=ucja&rule=1-101	2026-07-29	text/plain	3893	47e9690599f7deb7267b715343200a0ecdc648a926f1b12d62dd536995bd6852
UCJA-1-102	Utah Code of Judicial Administration 1-102	Role and objectives of the Council.	delegated	in-force		authoritative			1998-11-01	eng	https://legacy.utcourts.gov/rules/view.php?type=ucja&rule=1-102	2026-07-29	text/plain	1816	56774f1d399655ff9d463fa2e19c4dc691e49457ada9d056253dd636caf1cad2
UCJA-1-201	Utah Code of Judicial Administration 1-201	Judicial Council Membership - Election.	delegated	in-force		authoritative			2024-05-01	eng	https://legacy.utcourts.gov/rules/view.php?type=ucja&rule=1-201	2026-07-29	text/plain	4099	22c2aad42403a308d05914aec8420ad731526672605ebb8e004b67dccfa6915c
UCJA-1-202	Utah Code of Judicial Administration 1-202	Officers - Secretariat.	delegated	in-force		authoritative			1988-10-01	eng	https://legacy.utcourts.gov/rules/view.php?type=ucja&rule=1-202	2026-07-29	text/plain	500	d2f5622fbb525c0594af01215defecce745849f21efcf7e8881a4adc92126bb4
UCJA-1-203	Utah Code of Judicial Administration 1-203	Responsibilities of the presiding officer.	delegated	in-force		authoritative			1988-10-01	eng	https://legacy.utcourts.gov/rules/view.php?type=ucja&rule=1-203	2026-07-29	text/plain	747	6f8c009d2f5edec437f2469c16f520c232e632f851df158f48f3e691817717d5
UCJA-1-204	Utah Code of Judicial Administration 1-204	Executive committees.	delegated	in-force		authoritative			2024-11-01	eng	https://legacy.utcourts.gov/rules/view.php?type=ucja&rule=1-204	2026-07-29	text/plain	7273	2d02544f842fc7e70ad4febb668fe0e74806d01b221af0948ed8c0e3e8074548
UCJA-1-205	Utah Code of Judicial Administration 1-205	Standing and Ad Hoc Committees.	delegated	in-force		authoritative			2026-05-18	eng	https://legacy.utcourts.gov/rules/view.php?type=ucja&rule=1-205	2026-07-29	text/plain	17982	19edc1b6d552170c364af3dbcdda78e5f57c8ac3187768c61f07ee1ab749a259
UCJA-1-301	Utah Code of Judicial Administration 1-301	Established - Composition.	delegated	in-force		authoritative			1996-11-01	eng	https://legacy.utcourts.gov/rules/view.php?type=ucja&rule=1-301	2026-07-29	text/plain	1497	08917395631fc94e085d79dbaeb001d3bacab92424f808ed223dc321f6cbb899
UCJA-1-302	Utah Code of Judicial Administration 1-302	Board of Judges Membership - Officers - Secretariat.	delegated	in-force		authoritative			2023-05-01	eng	https://legacy.utcourts.gov/rules/view.php?type=ucja&rule=1-302	2026-07-29	text/plain	1619	5e2d1292624f8870053aa3cb448bb11f1f22874cb650feae210d6b8c57a1ba8b
UCJA-1-303	Utah Code of Judicial Administration 1-303	Internal procedures and organization.	delegated	in-force		authoritative			2022-05-01	eng	https://legacy.utcourts.gov/rules/view.php?type=ucja&rule=1-303	2026-07-29	text/plain	988	4d367e400ee7657c2ce05ec12c82c7a7f8b6e49dce9003808ad0ed2523f3d802
UCJA-1-304	Utah Code of Judicial Administration 1-304	General authority and duties.	delegated	in-force		authoritative			2008-11-01	eng	https://legacy.utcourts.gov/rules/view.php?type=ucja&rule=1-304	2026-07-29	text/plain	2882	00cf2e8c2702298b8aa9a9eaff8e3a262a9bc9f5290d41fd797235fe824eb55d
UCJA-1-305	Utah Code of Judicial Administration 1-305	Board of Senior Judges.	delegated	in-force		authoritative			2024-05-30	eng	https://legacy.utcourts.gov/rules/view.php?type=ucja&rule=1-305	2026-07-29	text/plain	3929	afbffcbcdf9b560681fe5cf26966a6214b6e11c6c3edc06da3e93fee175f8f46
UCJA-1-511	Utah Code of Judicial Administration 1-511	Screening panel composition; responsibilities.	delegated	in-force		authoritative			2021-12-31	eng	https://legacy.utcourts.gov/rules/view.php?type=ucja&rule=1-511	2026-07-29	text/plain	2787	de6a61d37bd5ba9ee155157b0faadd4699b92be72758047bf4a3e1f242720b17
UCJA-1-613	Utah Code of Judicial Administration 1-613	CLE Accreditation for qualified audio and video presentations, webcasts, computer interactive programs, writing, lecturi	delegated	in-force		authoritative			2024-11-01	eng	https://legacy.utcourts.gov/rules/view.php?type=ucja&rule=1-613	2026-07-29	text/plain	3772	8455df8def562be4c0504504728b3ad42262b106caf37ac538a41329a3e0f322
